hour_of_day,num_trips,avg_mph
5,119312,30.76917162
4,122183,26.7360143
3,159668,20.15804777
6,182738,24.58831251
2,210147,18.77707005
1,266529,18.93762114
0,319339,20.23052446
7,358406,17.73596714
23,399587,19.877046
22,501095,19.53137366
10,525120,18.53961386
8,541775,15.07989164
21,552726,20.43387368
9,565548,16.54388245
11,594603,18.92837867
20,598614,19.53677745
12,622324,17.8387449
14,622465,16.97423932
13,630181,17.67108944
15,640430,15.68841755
19,701064,16.64288243
16,701435,14.28388796
17,756627,12.4629547
18,768251,13.64680986
